% Model,one wire_deltaS_F1.mph
% Version,COMSOL 5.4.0.388
% Date,"Nov 21 2019, 01:47"
% Dimension,1
% Nodes,45
% Expressions,1
% Description,Table graph
% ,
1,1.1057639925405046E-8
2,6.485449557259514E-9
3,5.0898556357413955E-9
4,4.48143112636555E-9
5,4.32185831402702E-9
6,4.196371684651476E-9
7,3.933486639603095E-9
8,3.2935017223110017E-9
9,1.372783955539701E-9
10,-2.032713349056044E-9
11,-3.4946211807695455E-9
12,-3.946392884630882E-9
13,-4.144496816228919E-9
14,-4.182094549726488E-9
15,-4.179568391588386E-9
16,-4.165563692118375E-9
17,-4.036632509641211E-9
18,-3.701420707113559E-9
19,-3.8817378535411896E-9
20,-3.8081273223362705E-9
21,-3.850319887574855E-9
22,-4.129693325398481E-9
23,-4.22546919246005E-9
24,-4.241791348189837E-9
25,-4.262739133803064E-9
26,-4.304330956508838E-9
27,-4.360100621108552E-9
28,-4.6772015906908184E-9
29,-5.395518541542155E-9
30,-7.886050189668403E-9
31,-1.212432248359362E-8
32,-1.3911258190494025E-8
33,-1.463838176803475E-8
34,-1.4695396355808002E-8
35,-1.4957618134152835E-8
36,-1.4816749773171882E-8
37,-1.4803053559193922E-8
38,-1.5050805305369977E-8
39,-1.5770106531349726E-8
40,-1.7618276515010582E-8
41,-2.902140159113901E-8
42,-3.996216401321047E-8
43,-9.045242989689491E-8
44,-1.5772324439992737E-7
45,-1.317974241915492E-7
