% Model,one wire_deltaS_esase -0.5micronwidth_Real.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 19 2019, 15:22"
% Table,Table 73-written in notebook - 
% count,"Electric potential (V), Point: (0.11808, -9, 0.052578)"
1,3.02E-08
2,2.36E-08
3,2.60E-08
4,3.27E-08
5,3.30E-08
6,2.93E-08
7,2.85E-08
8,2.98E-08
9,2.89E-08
10,2.69E-08
11,2.54E-08
12,2.46E-08
13,2.46E-08
14,2.52E-08
15,2.61E-08
16,2.54E-08
17,2.17E-08
18,1.62E-08
19,1.04E-08
20,5.37E-09
21,3.19E-09
22,3.80E-09
23,5.18E-09
24,6.34E-09
25,7.22E-09
26,7.88E-09
27,8.34E-09
28,8.65E-09
29,8.85E-09
30,8.96E-09
31,9.00E-09
32,8.97E-09
33,8.84E-09
34,8.57E-09
35,8.19E-09
36,7.69E-09
37,7.00E-09
38,6.06E-09
39,4.70E-09
40,1.85E-09
41,-5.47E-09
42,-1.98E-08
43,-4.43E-08
44,-6.82E-08
45,-6.75E-08
46,-5.13E-08
47,-3.73E-08
48,-2.79E-08
49,-2.13E-08
50,-1.65E-08
