% Model,one wire_deltaS_f2_2final_2.mph
% Version,COMSOL 5.4.0.388
% Date,"Nov 25 2019, 18:07"
% Dimension,1
% Nodes,40
% Expressions,1
% Description,Table graph
% ,
1,1.3362978269816252E-8
2,1.698756199289914E-8
3,1.8402207288768528E-8
4,1.6558861438189203E-8
5,1.3164413518150774E-8
6,9.878119715558322E-9
7,6.974009657548554E-9
8,4.428685244903674E-9
9,2.759016056921188E-9
10,2.3119362589351E-9
11,2.2523750911328874E-9
12,1.8449955848523208E-9
13,1.3443248674915878E-9
14,1.4748346933271694E-9
15,2.4053959726310184E-9
16,3.664479299135231E-9
17,4.962455131714777E-9
18,6.0838343786811885E-9
19,6.3964945976460395E-9
20,5.499214426982059E-9
21,4.066084511234345E-9
22,2.7908971692569597E-9
23,1.8133972446002974E-9
24,1.081061041073094E-9
25,5.134272090695007E-10
26,-1.5119155504247142E-11
27,-5.569900711467253E-10
28,-9.711124143523228E-10
29,-1.173449666798002E-9
30,-1.2688825590335884E-9
31,-1.1749721841684277E-9
32,-3.6318516094648706E-10
33,1.6315736172393225E-9
34,5.064385469442841E-9
35,1.0037513289149077E-8
36,1.5599985877481627E-8
37,1.8311985687710765E-8
38,1.5618899017734666E-8
39,1.0313170138531624E-8
40,5.871769012336323E-9
